fips,rate
13145,0.072
13147,0.138
13149,0.124
13151,0.104
13153,0.073
13155,0.145
13157,0.109
13159,0.127
13161,0.135
13163,0.149
13165,0.196
13167,0.119
13169,0.086
13171,0.153
13173,0.084
13175,0.108
13177,0.079
13179,0.085
13181,0.103
13183,0.059
13185,0.082
13187,0.111
13189,0.121
13191,0.096
13193,0.13
13195,0.083
13197,0.099
13199,0.132
13201,0.087
13205,0.104
13207,0.102
13209,0.085
13211,0.098
13213,0.123
13215,0.092
13217,0.126
13219,0.062
13221,0.082
13223,0.107
13225,0.102
13227,0.108
13229,0.093
13231,0.118
13233,0.108
13235,0.071
13237,0.104
13239,0.118
13241,0.104
13243,0.13
13245,0.103
13247,0.12
13249,0.138
13251,0.137
13253,0.107
13255,0.154
13257,0.107
13259,0.107
13261,0.129
13263,0.098
13265,0.124
13267,0.087
13269,0.13
13271,0.162
13273,0.116
13275,0.093
13277,0.106
13279,0.098
13281,0.078
13283,0.119
13285,0.129
13287,0.13
13289,0.114
13291,0.09
13293,0.133
13295,0.096
13297,0.11
13299,0.107
13301,0.188
13303,0.14
13305,0.117
13307,0.091
13309,0.091
13311,0.095
13313,0.125
13315,0.116
13317,0.117
13319,0.107
13321,0.108
15001,0.108
15003,0.063
15007,0.096
15009,0.097
16001,0.091
16003,0.121
16005,0.084
16007,0.052
16009,0.121
16011,0.059
16013,0.077
16015,0.071
16017,0.095
16019,0.059
16021,0.12
16023,0.045
16025,0.11
16027,0.106
16029,0.06
16031,0.059
16033,0.041
16035,0.118
16037,0.039
16039,0.077
16041,0.04
16043,0.066
16045,0.104
16047,0.055
16049,0.083
16051,0.068
16053,0.059
16055,0.087
16057,0.059
16059,0.065
16061,0.052
16063,0.097
16065,0.055
16067,0.06
16069,0.055
16071,0.05
16073,0.041
16075,0.077
16077,0.067
16079,0.119
16081,0.051
16083,0.068
16085,0.114
16087,0.084
17001,0.079
17003,0.112
17005,0.093
17007,0.138
17009,0.045
17011,0.109
17013,0.095
17015,0.105
17017,0.073
17019,0.082
17021,0.099
17023,0.131
17025,0.114
17027,0.079
17029,0.091
17031,0.106
17033,0.105
17035,0.097
17037,0.092
17039,0.092
17041,0.091
17043,0.086
17045,0.107
17047,0.091
17049,0.079
17051,0.116
17053,0.104
17055,0.146
17057,0.125
17059,0.11
17061,0.092
17063,0.114
17065,0.093
17067,0.113
17069,0.128
17071,0.094
17073,0.086
17075,0.1
17077,0.073
17079,0.095
17081,0.1
17083,0.088
17085,0.081
17087,0.104
17089,0.099
17091,0.128
17093,0.104
17095,0.103
17097,0.1
17099,0.124
17101,0.103
17103,0.109
17105,0.107
17107,0.095
17109,0.077
17111,0.093
17113,0.074
17115,0.124
17117,0.105
17119,0.097
17121,0.119
17123,0.106
17125,0.143
17127,0.08
17129,0.078
17131,0.089
17133,0.078
17135,0.122
17137,0.084
17139,0.09
17141,0.119
17143,0.116
17145,0.119
17147,0.082
17149,0.081
17151,0.106
17153,0.119
17155,0.15
17157,0.094
17159,0.105
17161,0.095
17163,0.108
17165,0.112
17167,0.079
17169,0.066
17171,0.075
17173,0.1
17175,0.098
17177,0.116
17179,0.113
17181,0.108
17183,0.12
17185,0.103
17187,0.08
17189,0.08
17191,0.097
17193,0.086
17195,0.106
17197,0.099
17199,0.096
17201,0.155
17203,0.086
18001,0.134
18003,0.093
18005,0.088
18007,0.09
18009,0.133
18011,0.068
18013,0.078
18015,0.099
18017,0.105
18019,0.082
18021,0.096
18023,0.092
18025,0.105
18027,0.049
18029,0.089
18031,0.11
18033,0.124
18035,0.095
18037,0.08
18039,0.15
18041,0.134
18043,0.074
18045,0.116
18047,0.089
18049,0.112
18051,0.067
18053,0.111
18055,0.071
18057,0.061
18059,0.078
18061,0.078
18063,0.068
18065,0.12
18067,0.119
18069,0.111
18071,0.101
18073,0.087
18075,0.104
18077,0.095
18079,0.122
18081,0.074
18083,0.066
18085,0.11
18087,0.14
18089,0.094
18091,0.107
18093,0.111
18095,0.097
18097,0.084
18099,0.114
18101,0.063
18103,0.123
18105,0.056
18107,0.097
18109,0.075
18111,0.089
18113,0.145
18115,0.105
18117,0.092
18119,0.081
18121,0.083
18123,0.088
18125,0.087
18127,0.082
18129,0.07
18131,0.095
18133,0.082
18135,0.102
18137,0.091
18139,0.095
18141,0.104
18143,0.121
18145,0.088
18147,0.081
18149,0.126
18151,0.129
18153,0.093
18155,0.07
18157,0.085
18159,0.103
18161,0.086
18163,0.074
18165,0.108
18167,0.092
18169,0.12
18171,0.101
18173,0.069
18175,0.112
18177,0.109
18179,0.091
18181,0.094
18183,0.116
19001,0.051
19003,0.06
19005,0.093
19007,0.094
19009,0.051
19011,0.058
19013,0.058
19015,0.059
19017,0.05
19019,0.059
19021,0.055
19023,0.06
19025,0.054
19027,0.042
19029,0.058
19031,0.057
19033,0.067
19035,0.044
19037,0.084
19039,0.074
19041,0.062
19043,0.079
19045,0.077
19047,0.047
19049,0.051
19051,0.101
19053,0.066
19055,0.068
19057,0.082
19059,0.058
19061,0.06
19063,0.086
19065,0.085
19067,0.087
19069,0.07
19071,0.07
19073,0.063
19075,0.049
19077,0.056
19079,0.081
19081,0.09
19083,0.06
19085,0.044
19087,0.088
19089,0.086
19091,0.062
19093,0.058
19095,0.058
19097,0.077
19099,0.081
19101,0.087
19103,0.044
19105,0.063
19107,0.071
19109,0.056
19111,0.114
19113,0.065
19115,0.08
19117,0.06
19119,0.043
19121,0.058
19123,0.077
19125,0.057
19127,0.07
19129,0.043
19131,0.054
19133,0.071
19135,0.075
19137,0.087
19139,0.089
19141,0.053
19143,0.054
19145,0.087
19147,0.07
19149,0.047
19151,0.052
19153,0.062
19155,0.048
19157,0.066
19159,0.053
19161,0.047
19163,0.073
19165,0.039
19167,0.041
19169,0.045
19171,0.066
19173,0.067
19175,0.06
19177,0.08
19179,0.094
19181,0.058
19183,0.049
19185,0.064
19187,0.083
19189,0.091
19191,0.058
19193,0.057
19195,0.063
19197,0.084
20001,0.078
20003,0.079
20005,0.081
20007,0.051
20009,0.061
20011,0.065
20013,0.056
20015,0.072
20017,0.054
20019,0.084
20021,0.085
20023,0.037
20025,0.037
20027,0.042
20029,0.045
20031,0.057
20033,0.038
20035,0.076
20037,0.081
20039,0.033
20041,0.051
20043,0.088
20045,0.054
20047,0.044
20049,0.11
20051,0.036
20053,0.041
20055,0.043
20057,0.038
20059,0.071
20061,0.069
20063,0.035
20065,0.043
20067,0.042
20069,0.034
20071,0.045
20073,0.072
20075,0.042
20077,0.056
20079,0.074
20081,0.037
20083,0.042
20085,0.06
20087,0.067
20089,0.049
20091,0.068
20093,0.045
20095,0.063
20097,0.049
20099,0.078
20101,0.034
20103,0.073
20105,0.063
20107,0.084
20109,0.04
20111,0.057
20113,0.051
20115,0.063
20117,0.049
20119,0.042
20121,0.068
20123,0.058
20125,0.094
20127,0.068
20129,0.047
20131,0.043
20133,0.07
20135,0.04
20137,0.047
20139,0.07
20141,0.044
20143,0.065
20145,0.037
20147,0.06
20149,0.041
20151,0.053
20153,0.035
20155,0.063
20157,0.041
20159,0.051
20161,0.032
20163,0.073
20165,0.059
20167,0.046
20169,0.057
20171,0.032
20173,0.088
20175,0.051
20177,0.064
20179,0.032
20181,0.039
20183,0.043
20185,0.061
20187,0.034
20189,0.053
20191,0.09
20193,0.036
20195,0.036
20197,0.066
20199,0.059
20201,0.045
20203,0.035
20205,0.102
20207,0.089
20209,0.104
21001,0.101
21003,0.143
21005,0.109
21007,0.102
21009,0.116
21011,0.133
21013,0.125
21015,0.092
21017,0.091
21019,0.083
21021,0.11
21023,0.102
21025,0.1
21027,0.121
21029,0.108
21031,0.137
21033,0.109
21035,0.08
21037,0.107
21039,0.091
21041,0.124
21043,0.135
21045,0.102
21047,0.129
21049,0.114
21051,0.135
21053,0.09
21055,0.108
21057,0.13
21059,0.091
21061,0.128
21063,0.126
21065,0.129
21067,0.077
21069,0.122
21071,0.124
21073,0.091
21075,0.144
21077,0.111
21079,0.119
21081,0.101
21083,0.103
21085,0.164
21087,0.124
21089,0.098
21091,0.136
21093,0.1
21095,0.125
21097,0.111
21099,0.106
21101,0.098
21103,0.107
21105,0.092
21107,0.091
21109,0.175
21111,0.105
21113,0.088
21115,0.111
21117,0.1
21119,0.12
21121,0.115
21123,0.107
21125,0.101
21127,0.131
21129,0.123
21131,0.137
21133,0.12
21135,0.151
21137,0.121
21139,0.098
21141,0.104
21143,0.122
21145,0.091
21147,0.133
